date,daily worker count
26/08/2015,7889
27/08/2015,7954
28/08/2015,7924
29/08/2015,5888
30/08/2015,5496
31/08/2015,8089
01/09/2015,8121
02/09/2015,8183
03/09/2015,8158
04/09/2015,8070
05/09/2015,5876
06/09/2015,5336
07/09/2015,7887
08/09/2015,7805
09/09/2015,7944
10/09/2015,7844
11/09/2015,7999
12/09/2015,5885
13/09/2015,5391
14/09/2015,8218
15/09/2015,8254
16/09/2015,8232
17/09/2015,8296
18/09/2015,8346
19/09/2015,6099
20/09/2015,5560
21/09/2015,8351
22/09/2015,8261
23/09/2015,8379
24/09/2015,8397
25/09/2015,8367
26/09/2015,6164
27/09/2015,5622
28/09/2015,8335
29/09/2015,8306
30/09/2015,8398
01/10/2015,8253
02/10/2015,8264
03/10/2015,6078
04/10/2015,5521
05/10/2015,8087
06/10/2015,8311
07/10/2015,8224
08/10/2015,8127
09/10/2015,8129
10/10/2015,6206
11/10/2015,5630
12/10/2015,8069
13/10/2015,8069
14/10/2015,8143
15/10/2015,8261
16/10/2015,8266
17/10/2015,6110
18/10/2015,5618
19/10/2015,8343
20/10/2015,8504
21/10/2015,8512
22/10/2015,8478
23/10/2015,8412
24/10/2015,6091
25/10/2015,5702
26/10/2015,8432
27/10/2015,8402
28/10/2015,8296
29/10/2015,8333
30/10/2015,8279
31/10/2015,6146
01/11/2015,5672
02/11/2015,8106
03/11/2015,8187
04/11/2015,8240
05/11/2015,8163
06/11/2015,8016
07/11/2015,5925
08/11/2015,5603
09/11/2015,8291
10/11/2015,8258
11/11/2015,8166
12/11/2015,8070
13/11/2015,8068
14/11/2015,6012
15/11/2015,5627
16/11/2015,8348
17/11/2015,8268
18/11/2015,8401
19/11/2015,8187
20/11/2015,8066
21/11/2015,6229
22/11/2015,5692
23/11/2015,8163
24/11/2015,8110
25/11/2015,8204
26/11/2015,8175
27/11/2015,8225
28/11/2015,6441
29/11/2015,5751
30/11/2015,8316
01/12/2015,8196
02/12/2015,8296
03/12/2015,8346
04/12/2015,8196
05/12/2015,6280
06/12/2015,5664
